,sentence
1562,"<span style=""color: rgb(,,); font-size: 16px;"">|JJN </span>|FW Nang|RBW makarating|VBW si|DTP Bonong|NNP sa|CCT klasrum|NNC nila|PRP ,|PMC sumilip|VBAF siya|PRS sa|CCT sirang|JJD_CCP bintana|NNC .|PMP  
"
1563,"""|PMS Ang|DTC mga|DTCP drowing|FW sa|CCT miyural|FW ni|DTP Ma’am|NNP France|NNP ay|LM nabubuhay|VBTR kung|CCR gabi|RBW !|PMS  
"
1564,"""|PMS pabulong|JJD na|CCP sabi|VBS ni|DTP Bonong|NNP sa|CCT sarili|NNC habang|RBW namamangha|VBTR sa|CCT nakikita|VBTR .|PMP
"
1565,"Merong|VBH_CCP sumasayaw|VBTR na|CCP bulaklak|NNC ,|PMC nagkakantahang|VBTR_CCP mga|DTCP ibon|NNC ,|PMC at|CCA mga|DTCP prinsesang|NNC_CCP naghaharutan|VBTR .|PMP
"
1566,"Ngunit|CCT ang|DTC pagkatuwa|VBW niya|PRS ay|LM napalitan|VBTS ng|CCB takot|NNC .|PMP
"
1567,"Bigla|NNP -|PMS bigla|NNC ,|PMC lumitaw|VBAF ang|DTC mga|DTCP ginuhit|VBOF nila|PRP .|PMP
"
1568,"Kumaripas|NNP ng|CCB takbo|NNC ang|DTC tikbalang|NNC ,|PMC ""|PMS ""|PMS Neeeey|NNP ...|PMS Neeeeey|NNP ...|PMS Neeeeeeey|NNP …|PMS ""|PMS Kaya|CCR natahimik|VBTR ang|DTC lahat|PRI .|PMP  
"
1569,"""|PMS Tigsik|NNP ko|PRS itong|PRO_CCP si|DTP ara|NNP -|PMS alas|FW -|PMS dose|FW Kung|CCR bumukadkad|VBTR_VBAF ay|LM ubod|JJD ng|CCB tamad|JJD ,|PMC tse|FW !|PMS
"
1570,"Tinalo|VBOF pa|RBI niya|PRS sina|DTPP Sampaguita|NNP Akala|NNP ko|PRS tuloy|JJD isang|PRI_CCP damo|NNC siya|PRS ""|PMS ""|PMS Neeeey|NNP …|PMS Neeeeey|NNP …|PMS Neeeeeeey|NNP …|PMS ""|PMS labis|JJCS na|CCP sinisikad|VBTR ang|DTC paa|NNC sa|CCT kasiyahan|NNC .|PMP
"
1571,"Napikon|VBTS ang|DTC prinsesa|NNC kaya|CCR sinagot|VBTS niya|PRS ang|DTC unglo|NNC ,|PMC ""|PMS Tigsik|RBD itong|PRO_CCP di|RBF -|PMS papatalong|NNC_CCP unglo|FW Ang|DTC talim|NNC -|PMS talim|NNC na|CCP ng|CCB kaniyang|PRSP_CCP nguso|NNC Paratang|NNC sa|CCT amin|PRSP ay|LM kung|RBK ano|RBQ -|PMS ano|PRQ Kanina|PRI pa|RBI kami|PRP ,|PMC huli|RBW na|CCP po|RBS kayo|PRP ""|PMS Tumayo|VBAF ang|DTC duwende|NNC sa|CCT upuan|NNC upang|CCB makita|VBW ,|PMC tumayo|VBAF siya|PRS nang|RBW napakatuwid|JJCS_JJD upang|CCB magmukhang|VBW_CCP matangkad|JJD .|PMP  
"
1572,"""|PMS Tigsik|NNP ko|PRS kayong|PRO_CCP mga|DTCP pabebe|FW Hello|NNP ?|PMQ
"
1573,"Nagbibiruan|VBTR lang|RBI kami|PRP Pwede|RBT pa|RBI naman|RBI kayong|PRO_CCP sumali|VBAF Ayaw|RBF ’|CDB nyo|NNCA ?|PMQ
"
1574,"Hala|NNP !|PMS
"
1575,"edi|RBF mag|VBW -|PMS impake|FW ""|PMS Sabay|NNC -|PMS sabay|RBD na|CCP nagsalita|VBTS ang|DTC mga|DTCP nilalang|NNC upang|CCB madepensahan|VBW ang|DTC grupo|NNC nila|PRP .|PMP  
"
1576,"""|PMS Tabi|NNP tabi|NNC po|RBS !|PMS  
"
1577,"""|PMS malakas|JJD na|CCP sabi|NNC ng|CCB kalapati|NNC kaya|CCR tumahimik|VBAF naman|RBI ,|PMC habang|RBW lumilipad|VBTR_VBAF sa|CCT malapit|JJD sa|CCT bombilya|NNC ,|PMC inayos|VBOF muna|RBI ang|DTC buhok|NNC sabay|RBD kindat|VBOF saka|CCA nagtigsik|VBTS din|RBI .|PMP  
"
1578,"""|PMS Tigsik|NNP ko|PRS rin|RBI itong|PRO_CCP si|DTP Kikik|NNP Layo|NNP ng|CCB hagikhik|NNC sa|CCT kikik|FW Binintangan|NNP pa|RBI ’|PMS kong|PRS_CCP nandagit|VBTS Ang|DTC pogi|FW po|RBS ,|PMC di|RBF nananakit|VBTR ""|PMS Habang|RBW namamangha|VBTR si|DTP Bonong|NNP at|CCA napapaisip|VBTR kung|CCR totoo|RBT ang|DTC nakikita|VBTR niya|PRS …|PMS ""|PMS Pakiusap|NNC ,|PMC makikiraan|VBW ,|PMC ""|PMS tamad|JJD na|CCP sabi|NNC ng|CCB ulalo|NNC .|PMP
"
1579,"Naitulak|VBTS ng|CCB ulalo|NNC si|DTP Bonong|NNP papunta|RBL sa|CCT gilid|JJD .|PMP
"
1580,"Doon|PRL nakumpirma|VBTS ni|DTP Bonong|NNP na|CCP totoo|RBT ang|DTC mga|DTCP nakikita|VBTR niya|PRS .|PMP
"
1581,"Tinulungan|VBOF niyang|PRS_CCP maitulak|VBW papasok|VBTF ang|DTC ulalo|NNC dahil|CCR sa|CCT mabagal|JJD nitong|PRO_CCP sinisiksik|VBTR ang|DTC sarili|NNC sa|CCT bintana|NNC .|PMP
"
1582,"Habang|RBW nagsasalita|VBTR ang|DTC dalawa|CDB ,|PMC patuloy|JJD pa|RBI rin|RBI talaga|RBT ang|DTC pagbabangayan|NNC ng|CCB dalawang|JJN_CCP grupo|NNC .|PMP
"
1583,"Hanggang|RBW sa|CCT sumikat|VBAF na|CCP ang|DTC araw|NNC nang|RBW sila|PRP ay|LM sabay|RBD -|PMS sabay|RBD na|CCP nawala|VBTS .|PMP
"
1584,"Nalulungkot|VBTR at|CCA nagnilay|VBTR -|PMS nilay|VBTS si|DTP Bonong|NNP pauwi|NNC .|PMP  
"
1585,"""|PMS Kasalanan|NNP mo|PRS kaya|CCR ’|PMS t|NNCA nagtatalo|VBTR sila|PRP ,|PMC ""|PMS sabi|VBS niya|PRS ,|PMC sabay|RBD hinga|RBD ng|CCB malalim|JJD .|PMP
"
1586,"Nang|RBW Biyernes|NNP na|CCP umaga|RBW ,|PMC pagkarating|VBW ni|DTP Bonong|NNP sa|CCT klasrum|NNC ,|PMC ay|LM sinimulan|VBTS na|CCP niyang|PRS_CCP alisin|VBOF ang|DTC kanilang|PRSP_CCP mga|DTCP guhit|NNC sa|CCT miyural|NNC ni|DTP Ma’am|NNP France|NNP .|PMP
"
1587,"Matagal|JJD na|CCP palang|NNC nagmamasid|VBTR si|DTP Ma’am|NNP France|NNP ,|PMC at|CCA lumapit|VBAF ito|PRO sa|CCT kaniya|PRSP at|CCA nagtanong|VBTS ,|PMC ""|PMS Bakit|PRQ mo|PRS sila|PRP binubura|VBTR ?|PMQ ""|PMS  
"
1588,"""|PMS Mali|NNP po|RBS ang|DTC ginawa|VBOF namin|PRP ,|PMC Ma’am|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Bonong|NNP na|CCP umiiyak|VBTR_VBAF sa|CCT lungkot|NNC .|PMP
"
1589,"Sagot|NNC ni|DTP Ma’am|NNP France|NNP ,|PMC ""|PMS May|VBH potensiyal|JJD kayo|PRP sa|CCT pagguhit|NNC ,|PMC ngunit|CCT di|RBF ninyo|PRP ginawa|VBOF sa|CCT tamang|JJD_CCP lugar|NNC .|PMP
"
1590,"Ano|PRQ man|RBI ang|DTC intensiyon|NNC kahit|CCT ito|PRO ay|LM mabuti|JJD ,|PMC kung|CCR wala|VBN sa|CCT lugar|NNC ay|LM wala|VBN ring|RBI_CCP silbi|NNC .|PMP
"
1591,"Diyan|NNP naman|RBI kayo|PRP sa|CCT kabilang|JJD_CCP dingding|NNC ,|PMC diyan|PRL ninyo|PRP ilipat|VBOF ang|DTC mga|DTCP ginuhit|VBOF ninyo|PRP .|PMP  
"
1592,"""|PMS Mula|RBW noon|RBW ay|LM payapa|JJD nang|RBD kumakanta|VBTR_VBAF ng|CCB hele|FW ang|DTC mga|DTCP drowing|FW sa|CCT miyural|FW habang|RBW nagkaroon|VBTS ng|CCB bago|JJD at|CCA malawak|JJD na|CCP palaruan|NNC ang|DTC mga|DTCP guhit|NNC .|PMP
"
1593,"Napakamapagmasid|VBTS ni|DTP Kakay|NNP sa|CCT mga|DTCP bagay|NNC -|PMS bagay|NNC kahit|CCT pitong|JJN_CCP taon|NNC pa|RBI lamang|RBI siya|PRS .|PMP
"
1594,"Iniidolo|VBTS kasi|CCR niya|PRS si|DTP Sherlock|NNP Holmes|NNP .|PMP
"
1595,"At|CCA ginagaya|VBTR niya|PRS ito|PRO .|PMP
"
1596,"Libot|NNP siya|PRS ng|CCB libot|FW doon|PRL sa|CCT kapitbahayan|NNC nila|PRP ,|PMC bitbit|JJD ang|DTC magnifying|JJD_CCP glass|FW ng|CCB nakatatanda|VBTR niyang|PRS_CCP kapatid|NNC na|CCP babae|NNC at|CCA isang|PRI_CCP notebook|FW .|PMP
"
1597,"Dito|PRL niya|PRS sinusulat|VBTR ang|DTC mga|DTCP nakikita|VBTR at|CCA naoobserbahan|VBTR niya|PRS .|PMP
"
1598,"Bilang|CCT halimbawa|NNC :|PMS Setyembre|NNP ,|PMC Lunes|NNP .|PMP
"
1599,"Meron|VBH akong|PRS_CCP nakitang|VBTS_CCP maliit|JJD na|CCP itlog|NNC sa|CCT dahon|NNC ng|CCB tanim|NNC ni|DTP Inay|NNP .|PMP
"
1600,"Itlog|NNC kaya|CCR ito|PRO ng|CCB ano|PRQ ?|PMQ
"
1601,"Setyembre|NNP ,|PMC Miyerkoles|NNP .|PMP
"
1602,"Di|RBF ko|PRS pa|RBI rin|RBI talaga|RBT alam|VBS kung|CCR itlog|NNC ng|CCB anong|PRQ_CCP hayop|NNC o|CCT insekto|NNC ang|DTC narito|PRL sa|CCT dahon|NNC .|PMP
"
1603,"Setyembre|NNP ,|PMC Biyernes|NNP .|PMP
"
1604,"Napisa|NNP na|CCP ang|DTC itlog|NNC .|PMP
"
1605,"Lumabas|VBAF mula|RBW doon|PRL ang|DTC maliit|JJD na|CCP uod|NNC Setyembre|NNP ,|PMC Linggo|NNP .|PMP
"
1606,"Mabilis|RBD na|CCP lumaki|VBAF ng|CCB uod|NNC .|PMP
"
1607,"Magaling|JJD na|CCP kasi|CCR itong|PRO_CCP kumain|VBAF .|PMP
"
1608,"Kinakain|VBTR niya|PRS ang|DTC dahon|NNC na|CCP kinadidikitan|VBOF niya|PRS .|PMP
"
1609,"Setyembre|NNP ,|PMC Sabado|NNP .|PMP
"
1610,"Mas|JJCC lalo|JJCC pang|RBI_CCP lumaki|VBAF ang|DTC uod|NNC .|PMP
"
1611,"Nagpalipat|NNP -|PMS lipat|FW na|CCP siya|PRS sa|CCT iba|PRI -|PMS ibang|PRI_CCP dahon|NNC at|CCA kumain|VBAF ng|CCB marami|PRI .|PMP
"
1612,"Setyembre|NNP ,|PMC Lunes|NNP .|PMP
"
1613,"Nawala|VBTS na|RBI ang|DTC uod|NNC sa|CCT doon|PRL mga|DTCP dahon|NNC ,|PMC pero|CCT sa|CCT malapit|JJD na|CCP sanga|NNC ,|PMC meron|VBH akong|PRS_CCP nakitang|VBTS_CCP nakabitin|VBTS at|CCA nababalot|VBTR sa|CCT berdeng|JJD_CCP dahon|NNC .|PMP
"
1614,"Setyembre|NNP ,|PMC Sabado|NNP .|PMP
"
1615,"Wala|VBN namang|RBI_CCP nagbago|VBTS sa|CCT kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
1616,"Pareho|JJC pa|RBI rin|RBI ang|DTC itsura|NNC at|CCA ang|DTC kulay|NNC nito|PRO .|PMP
"
1617,"Setyembre|NNP ,|PMC Huwebes|NNP .|PMP
"
1618,"Wala|VBN pa|RBI ring|RBI_CCP nagbabago|VBTR sa|CCT kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
1619,"Ano|PRQ kaya|CCR ang|DTC nasa|RBL loob|NNC nun|NNCA ?|PMQ
"
1620,"Oktubre|NNP ,|PMC Martes|NNP .|PMP
"
1621,"Naiinip|VBTS na|CCP ako|PRS sa|CCT paghihintay|NNC kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
1622,"Ano|PRQ kaya|CCR ang|DTC laman|NNC nun|NNC ?|PMQ
"
1623,"Oktubre|NNP ,|PMC Biyernes|NNP .|PMP  
"
1624,"""|PMS Ah|RBJ !|PMS
"
1625,"Alam|VBS ko|PRS na|CCP ,|PMC paruparo|JJD pala|NNC ang|DTC nasa|RBL loob|NNC nung|RBW_CCP berdeng|JJD_CCP nakabitin|VBTS .|PMP
"
1626,"Nagsimula|VBTS sa|CCT itlog|NNC ,|PMC naging|VBTS uod|NNC ,|PMC at|CCA pagkalipas|VBW ng|CCB ilang|PRQ_CCP araw|NNC ang|DTC uod|NNC ay|LM naging|VBTS paruparo|RBD na|RBI ,|PMC ""|PMS manghang|VBW_CCP sabi|VBS ni|DTP Kakay|NNP .|PMP
"
1627,"Oktubre|NNP ,|PMC Lunes|NNP .|PMP
"
1628,"May|VBH napulot|VBTS na|CCP naman|RBI akong|PRS_CCP maliit|JJD na|CCP parang|CCT bato|NNC .|PMP
"
1629,"Kulay|NNP dilaw|JJD ito|PRO na|CCP napakakintab|JJCS_JJD .|PMP
"
1630,"Nang|RBW inilagay|VBOF ko|PRS ito|PRO sa|CCT palad|NNC ko|PRS ,|PMC lumipad|VBAF naman|RBI ito|PRO na|CCP parang|CCT paruparo|JJD lang|RBI .|PMP
"
1631,"""|PMS Nasa|RBL Bula|NNP na|CCP po|RBS tayo|PRP ,|PMC ""|PMS malakas|JJD na|CCP sabi|VBS ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1632,"Itinigil|VBOF niya|PRS ang|DTC pagtulak|NNC sa|CCT sinasakyan|VBTR kong|PRS_CCP upuan|NNC .|PMP
"
1633,"Drayber|NNP siya|PRS sa|CCT laro|NNC namin|PRP ngayon|RBW .|PMP
"
1634,"Isang|JJN_CCP beses|NNC ,|PMC naging|VBTS magsasaka|NNC kami|PRP ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1635,"Itinanim|VBTS namin|PRP ang|DTC mga|DTCP walis|NNC -|PMS tingting|NNC at|CCA inilinya|NNC .|PMP  
"
1636,"""|PMS Baka|NNP tumubo|VBAF kaagad|RBW ang|DTC mga|DTCP niyog|NNC natin|PRP ,|PMC ""|PMS sabi|VBS ko|PRS .|PMP
"
1637,"Si|DTP Nanay|NNP Sula|NNP ang|DTC mahal|JJD kong|PRS_CCP lola|NNC .|PMP
"
1638,"Masaya|NNP ang|DTC araw|NNC ko|PRS kapag|CCR kasama|CCB ko|PRS siya|PRS .|PMP
"
1639,"Paborito|NNP kong|PRS_CCP kalaro|NNC si|DTP Nanay|NNP Sula|NNP .|PMP
"
1640,"Isang|JJN_CCP beses|NNC ,|PMC naging|VBTS mangingisda|NNC kami|PRP ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1641,"Biningwit|NNP namin|PRP ang|DTC mga|DTCP tsinelas|NNC sa|CCT planggana|FW .|PMP  
"
1642,"""|PMS Nakabingwit|RBD na|CCP ako|PRS ,|PMC Nanay|NNC !|PMS  
"
1643,"""|PMS sabi|VBS ko|PRS sa|CCT kaniya|PRSP .|PMP
"
1644,"Biglang|RBD_CCP itinapon|VBTS ni|DTP Nanay|NNP Sula|NNP ang|DTC pamingwit|NNC niya|PRS .|PMP  
"
1645,"""|PMS Wala|VBN na|CCP talaga|RBT akong|PRS_CCP pakinabang|NNC ,|PMC ""|PMS umiiyak|VBTR_VBAF na|CCP sinabi|VBTS niya|PRS .|PMP
"
1646,"Kinausap|VBTS siya|PRS si|DTP Mama|NNP Lita|NNP at|CCA ipinakita|VBTS ang|DTC mga|DTCP retrato|NNC nila|PRP .|PMP
"
1647,"Ang|DTC saya|NNC ni|DTP Nanay|NNP Sula|NNP kaya|CCR inalok|VBOF ko|PRS siyang|PRS_CCP magtagu|VBAF -|PMS taguan|NNC pakaalis|NNC ni|DTP Mama|NNP Lita|NNP .|PMP  
"
1648,"""|PMS Tagu|NNP -|PMS taguan|NNC ,|PMC maliwanag|JJD ang|DTC buwan|NNC ,|PMC ""|PMS kanta|NNC ko|PRS upang|CCB makatago|VBW si|DTP Nanay|NNP Sula|NNP .|PMP  
"
1649,"""|PMS Isa|PRI ,|PMC dalawa|CDB ,|PMC tatlo|CDB ,|PMC ""|PMS tinapos|VBOF ko|PRS ang|DTC kanta|NNC .|PMP
"
1650,"Hinanap|VBOF ko|PRS si|DTP Nanay|NNP Sula|NNP .|PMP
"
1651,"Pumunta|VBAF ako|PRS sa|CCT kuwarto|NNC ,|PMC sala|NNC ,|PMC at|CCA kusina|NNC .|PMP
"
1652,"Nalibot|VBTS ko|PRS na|CCP ang|DTC buong|PRI_CCP bahay|NNC pero|CCT di|RBF ko|PRS mahanap|VBW si|DTP Nanay|NNP Sula|NNP .|PMP  
"
1653,"""|PMS Ma|NNP ,|PMC di|RBF ko|PRS mahanap|VBW si|DTP Nanay|NNP Sula|NNP ,|PMC ""|PMS umiiyak|VBTR_VBAF akong|PRS_CCP nagsumbong|VBTS kay|DTP Mama|NNP Lita|NNP .|PMP
"
1654,"Di|RBF namin|PRP mahanap|VBW si|DTP Nanay|NNP Sula|NNP kaya|CCR nagpatulong|VBTS na|RBI sa|CCT mga|DTCP tanod|NNC si|DTP Mama|NNP Lita|NNP .|PMP  
"
1655,"""|PMS Bula|NNP …|CDB Bula|NNP …|CDB Bula|NNP …|CDB ""|PMS narinig|VBTS kong|PRS_CCP isinisigaw|VBTR .|PMP  
"
1656,"""|PMS Si|DTP Nanay|NNP Sula|NNP ’|CDB yon|PRO ,|PMC ""|PMS sabi|VBS ko|PRS kay|DTP Mama|NNP Lita|NNP .|PMP
"
1657,"Doon|PRL sa|CCT Crossing|NNP Bula|NNP ay|LM nagtatawag|VBTR si|DTP Nanay|NNP Sula|NNP .|PMP
"
1658,"Tumakbo|VBAF ako|PRS upang|CCB yakapin|VBOF siya|PRS .|PMP  
"
1659,"""|PMS Salamat|RBS po|RBS ,|PMC ""|PMS sabi|VBS namin|PRP ng|CCB mga|DTCP tanod|NNC na|CCP tumulong|VBAF sa|CCT amin|PRSP ni|DTP Mama|NNP Lita|NNP .|PMP
"
1660,"Pag|CCR -|PMS uwi|NNCA namin|PRP ,|PMC sinabi|VBTS ni|DTP Mama|NNP Lita|NNP na|CCP may|VBH Alzheimer|NNP ’s|FW disease|FW si|DTP Nanay|NNP Sula|NNP .|PMP
"
1661,"Sakit|NNP daw|RBI ito|PRO ng|CCB mga|DTCP tumatanda|VBTR_VBAF na|CCP tulad|JJC ni|DTP Nanay|NNP Sula|NNP .|PMP  
"
1662,"""|PMS Neurons|NNP ang|DTC nagdadala|VBTR ng|CCB mensahe|NNC sa|CCT utak|NNC natin|PRP ,|PMC Ador|NNP .|PMP
"
1663,"Neurons|NNP din|RBI ang|DTC rason|NNC kung|CCR kaya|CCR ’|PMS t|NNCA naiintindihan|VBTR natin|PRP ang|DTC mga|DTCP bagay|NNC sa|CCT paligid|NNC natin|PRP .|PMP
"
1664,"Sa|CCT mga|DTCP taong|NNC_CCP tulad|JJC ni|DTP Nanay|NNP Sula|NNP ,|PMC nasisira|VBTR at|CCA namamatay|VBTR na|CCP ang|DTC mga|DTCP neurons|FW ,|PMC ""|PMS paliwanag|NNC ni|DTP Mama|NNP Lita|NNP .|PMP  
"
1665,"""|PMS Dumarami|PRI ang|DTC mga|DTCP espasyo|NNC sa|CCT utak|NNC nila|PRP kung|CCR kaya|CCR ’|PMS t|NNCA nagiging|VBTR makakalimutin|VBTF ,|PMC di|RBF na|CCP nakakikila|VBTR ,|PMC o|CCT di|RBF kaya|CCR ’|PMS y|FW magagagalitin|VBTF na|CCP sila|PRP .|PMP
"
1666,"Kung|CCR nakalalabas|VBTS ,|PMC mahihirapan|VBTF na|CCP silang|PRP_CCP hanapin|VBOF ang|DTC daan|NNC pauwi|VBW ,|PMC ""|PMS paliwanag|NNC pa|RBI ni|DTP Mama|NNP Lita|NNP .|PMP  
"
1667,"""|PMS Kaya|CCR pala|NNC di|RBF na|CCP tinatawag|VBTR ni|DTP Nanay|NNP Sula|NNP ang|DTC pangalan|NNC ko|PRS .|PMP
"
1668,"Kaya|CCR pala|NNC bigla|JJD na|RBI lang|RBI umiiyak|VBTR_VBAF at|CCA nagagalit|VBTS si|DTP Nanay|NNP Sula|NNP .|PMP
"
1669,"Kaya|CCR pala|NNC di|RBF nakabalik|VBTS si|DTP Nanay|NNP Sula|NNP nang|RBW magtagu|VBW -|PMS taguan|NNC kami|PRP .|PMP  
"
1670,"""|PMS Marami|PRI palang|NNC_CCP nagbago|VBTS kay|DTP Nanay|NNP Sula|NNP .|PMP
"
1671,"Ngunit|CCT kahit|CCT marami|PRI ang|DTC nagbago|VBTS ,|PMC marami|PRI pa|RBI rin|RBI ang|DTC kayang|RBD_CCP gawin|VBOF ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1672,"Simula|RBW noon|RBW ,|PMC nakaisip|VBTS ako|PRS ng|CCB bagong|JJD_CCP laro|NNC .|PMP
"
1673,"Tuwing|RBW umaga|RBW ,|PMC sinusuklayan|VBTR ko|PRS si|DTP Nanay|NNP Sula|NNP .|PMP
"
1674,"Pagkatapos|VBW ko|PRS siyang|PRS_CCP suklayan|NNC ,|PMC sinusuklayan|VBTR niya|PRS rin|RBI ako|PRS .|PMP  
"
1675,"""|PMS Lagi|RBW ka|PRS pong|PRO_CCP magsuklay|VBW ,|PMC Nanay|NNC ,|PMC dahil|CCR napakaganda|JJCS_JJD mo|PRS ,|PMC ""|PMS sabi|VBS ko|PRS sa|CCT kaniya|PRSP .|PMP
"
1676,"Tuwing|RBW tanghali|RBW ,|PMC weyter|FW kami|PRP ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1677,"Inaayos|VBTR namin|PRP ang|DTC mga|DTCP baso|NNC ,|PMC plato|NNC at|CCA kutsara|NNC sa|CCT mesa|NNC .|PMP  
"
1678,"""|PMS Ang|DTC galing|RBL mo|PRS ,|PMC Nanay|NNC !|PMS
"
1679,"Tama|RBT ang|DTC pagkakaayos|NNC mo|PRS !|PMS  
"
1680,"""|PMS sabi|VBS ko|PRS sa|CCT kaniya|PRSP .|PMP
"
1681,"Tuwing|RBW hapon|RBW ,|PMC nagigi|VBTS kaming|PRP_CCP tagaalaga|NNC ng|CCB itik|NNC ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1682,"Inililibot|VBTR namin|PRP ang|DTC mga|DTCP itik|NNC papunta|VBW sa|CCT kulungan|NNC nila|PRP .|PMP  
"
1683,"""|PMS Ang|DTC galing|RBL mo|PRS ,|PMC Nanay|NNC !|PMS
"
1684,"Napabalik|VBTS mo|PRS ang|DTC mga|DTCP itik|NNC sa|CCT kulungan|NNC nila|PRP !|PMS  
"
1685,"""|PMS sabi|VBS ko|PRS sa|CCT kaniya|PRSP .|PMP
"
1686,"Tuwing|RBW gabi|RBW ,|PMC magkukuwentuhan|VBTF kami|PRP ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1687,"Kahit|CCT paulit|VBW -|PMS ulit|RBW ,|PMC nakatutuwa|VBTS pa|RBI rin|RBI ang|DTC kuwento|NNC niya|PRS .|PMP  
"
1688,"""|PMS Ang|DTC galing|RBL mo|PRS ,|PMC Nanay|NNC ,|PMC di|RBF mo|PRS ’|PMS yan|PRO nakakalimutan|VBTR ,|PMC ""|PMS sabi|VBS ko|PRS .|PMP
"
1689,"Isang|JJN_CCP beses|NNC ,|PMC tinanong|VBOF niya|PRS ako|PRS kung|RBK ano|RBQ naman|RBI ang|DTC lalaruin|VBTF namin|PRP .|PMP  
"
1690,"""|PMS Doktor|NNP naman|RBI po|RBS ,|PMC Nanay|NNC ,|PMC ang|DTC sunod|JJD ,|PMC ""|PMS sabi|VBS ko|PRS sa|CCT kaniya|PRSP .|PMP  
"
1691,"""|PMS Sa|CCT susunod|JJD ,|PMC Dok|NNP Ador|NNP na|CCP po|RBS ang|DTC itatawag|VBTF ninyo|PRP sa|CCT akin|PRSP ,|PMC ""|PMS sagot|NNC ko|PRS sa|CCT kaniya|PRSP ,|PMC ""|PMS dahil|CCR ’|PMS yon|PRO ang|DTC gusto|VBS ko|PRS paglaki|VBW ko|PRS .|PMP  
"
1692,"""|PMS Ibang|PRI_CCP klase|NNC na|CCP ang|DTC mga|DTCP laro|NNC namin|PRP ni|DTP Nanay|NNP Sula|NNP .|PMP
"
1693,"Gumaganda|NNP pa|RBI rin|RBI ang|DTC araw|NNC dahil|CCR kasama|CCB ko|PRS siya|PRS .|PMP
"
1694,"Si|DTP Nanay|NNP Sula|NNP pa|RBI rin|RBI ang|DTC paborito|NNC kong|PRS_CCP kalaro|NNC .|PMP
"
1695,"""|PMS Yohoo|FW !|PMS
"
1696,"Hanah|NNP ,|PMC lumabas|VBTS_VBAF ka|PRS na|CCP ,|PMC ang|DTC hirap|NNC mo|PRS talagang|RBT_CCP hanapin|VBOF kapag|CCR ikaw|PRS ang|DTC nagtatago|VBTR .|PMP  
"
1697,"""|PMS Aminado|JJD si|DTP Tim|NNP na|CCP hindi|RBF niya|PRS kayang|RBD_CCP hanapin|VBOF si|DTP Hanah|NNP Hunyango|NNP .|PMP  
"
1698,"""|PMS Bulaga|NNP !|PMS
"
1699,"Hahaha|NNP !|PMS
"
1700,"Nandito|VBTS lang|RBI naman|RBI ako|PRS ,|PMC di|RBF niyo|PRP ako|PRS nakikita|VBTR ?|PMQ ""|PMS  
"
1701,"""|PMS Ang|DTC daya|NNC mo|PRS naman|RBI Hanah|NNP .|PMP
"
1702,"Hindi|RBF ka|PRS niyan|PRO magiging|VBTF taya|NNC ,|PMC ""|PMS ang|DTC sabi|VBS naman|RBI ni|DTP Tor|NNP Tuko|NNP .|PMP  
"
1703,"""|PMS Ganito|PRC na|CCP talaga|RBT ako|PRS .|PMP
"
1704,"Madali|RBD kong|PRS_CCP nagagaya|VBTR ang|DTC kulay|NNC ng|CCB aking|PRSP_CCP nadidikitan|VBTR o|CCT napapatungan|VBTR .|PMP ""|PMS  
"
1705,"""|PMS Hanah|NNP ,|PMC pwede|VBS bang|RBM ikaw|PRS naman|RBI muna|RBI ang|DTC taya|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Tim|NNP Tambibili|NNP .|PMP  
"
1706,"""|PMS Hmm|NNP !|PMS
"
1707,"Sige|NNP na|CCP nga|RBI ako|PRS muna|RBI ang|DTC taya|NNC ,|PMC ""|PMS ang|DTC pagpayag|NNC ni|DTP Hanah|NNP .|PMP  
"
1708,"""|PMS Pagbilang|NNP_CCP kong|PRS_CCP sampu|JJN nakatago|VBTS na|CCP kayo|PRP .|PMP
"
1709,"Isa|PRI ,|PMC dalawa|CDB ,|PMC tatlo|CDB ,|PMC apat|CDB ,|PMC lima|CDB ...|PMS Nagsitago|VBTS na|CCP ang|DTC kaniyang|PRSP_CCP mga|DTCP kalaro|NNC .|PMP  
"
1710,"""|PMS Anim|NNP ,|PMC pito|CDB ,|PMC walo|JJN ,|PMC siyam|JJN ,|PMC sampu|JJN .|PMP
"
1711,"Andyan|NNP na|CCP ako|PRS ,|PMC hahanapin|VBTF ko|PRS na|CCP kayo|PRP .|PMP ""|PMS  
"
1712,"""|PMS Saan|PRQ kaya|CCR sila|PRP nagtago|VBTS ?|PMQ  
"
1713,"""|PMS Lumukso|VBTS si|DTP Hanah|NNP sa|CCT kaliwa|JJD at|CCA pinakiramdaman|VBTS niya|PRS .|PMP  
"
